1596.description,The lone survivor of an onslaught of flesh-possessing spirits holds up in a cabin witha  group of strangers while the demons continue their attack.,The lone survivor of an onslaught of flesh-possessing spirits holds up in a cabin with a group of strangers while the demons continue their attack.
245.actors,"Mel Gibson,Joaquin Phoenix,Rory Culkiln","Mel Gibson,Joaquin Phoenix,Rory Culkin"
6089.description,"A rocker makes a pact to kill himself on his 37h birthday. 12 weeks before the release of his final album and the end of his life, he meets and falls in love with a woman who has a dark secret of her own.","A rocker makes a pact to kill himself on his 37th birthday. 12 weeks before the release of his final album and the end of his life, he meets and falls in love with a woman who has a dark secret of her own."
1923.language,"nglish,Portuguese","English,Portuguese"
1522.duration,010 min,100 min
109.id,tt0032484,tt0165854
5736.name,The aRid 2,The Raid 2
6067.creator,John Weslye Norton,John Wesley Norton
2956.release_date,27 May2 015 (USA),27 May 2015 (USA)
2565.casting,"Philippe Petit,Jean François Heckel,Jean-Louis Blondeau,Annie Allix,David Forman,Alan Welner,Mark Lewis,Barry Greenhouse,Jim Moore,Guy F. Tozzoli,Paul McGill,David Demato,Ardis Campbell,Aaron Haskell,Shawn empewolff-Barrett","Philippe Petit,Jean François Heckel,Jean-Louis Blondeau,Annie Allix,David Forman,Alan Welner,Mark Lewis,Barry Greenhouse,Jim Moore,Guy F. Tozzoli,Paul McGill,David Demato,Ardis Campbell,Aaron Haskell,Shawn Dempewolff-Barrett"
371.id,tt0054215,tt0051055
3113.actors,"Juile Andrews,James Fox,Mary Tyler Moore","Julie Andrews,James Fox,Mary Tyler Moore"
4743.id,tt0092876,tt0098276
3337.director,Michae lRitchie,Michael Ritchie
6121.duration,125 mdin,125 min
7248.name,Double Tae,Double Take
1949.country,"UK,UA","UK,USA"
5564.release_date,5 Sptember 2014 (UK),5 September 2014 (UK)
3032.duration,9j7 min,97 min
4951.duration,55 miin,55 min
158.id,tt0088993,tt0079948
400.director,oward Deutch,Howard Deutch
76.country,SUA,USA
4235.duration,113min,113 min
4799.release_date,22 November 2002 (USAx),22 November 2002 (USA)
2408.id,tt0091806,tt0091860
3897.description,"In the aftermath of his girlfriend's mysterious death, a young man awakens to find strange ohrns sprouting from his temples.","In the aftermath of his girlfriend's mysterious death, a young man awakens to find strange horns sprouting from his temples."
2683.genre,"eAction,Adventure,Comedy","Action,Adventure,Comedy"
3614.review_count,NUkLL,NULL
3242.casting,"Daniel Day-Lewis,Martin Stringer,Matthew Braden Stringer,Jacob Stringer,Joseph Mussey,Barry Del Sherman,Harrison Taylor,Stockton Taylor,Paul F. Tompkins,Dilon Freasier,Kevin Breznahan,Jim Meskimen,Erica Sullivan,Randall Carver,Coco Leigh","Daniel Day-Lewis,Martin Stringer,Matthew Braden Stringer,Jacob Stringer,Joseph Mussey,Barry Del Sherman,Harrison Taylor,Stockton Taylor,Paul F. Tompkins,Dillon Freasier,Kevin Breznahan,Jim Meskimen,Erica Sullivan,Randall Carver,Coco Leigh"
83.filming_locations,aJpan,Japan
4257.description,Two troubled adolescents chronicle the events that ukltimately lead up to a terrifying assault on their school.,Two troubled adolescents chronicle the events that ultimately lead up to a terrifying assault on their school.
7075.release_date,1 December 2014 (US)A,1 December 2014 (USA)
6722.release_date,18 July 2014 v(USA),18 July 2014 (USA)
89.duration,12 6min,126 min
2650.country,UAS,USA
